id,service_name,full_address,address_key,County,x,y,Type
121,Central Park Nursing Home,"Central Park Nursing Home, Clonberne, Ballinasloe, Co. Galway, Galway", Clonberne,Galway,157179.7803,256722.9234,NursingHome
122,Cherry Grove Nursing Home,"Cherry Grove Nursing Home, Priesthaggard, Campile, New Ross, Co. Wexford  Wexford", Priesthaggard,Wexford,270261.2675,117633.5867,NursingHome
123,Cherry Orchard Hospital,"Cherry Orchard Hospital, Ballyfermot, Dublin 10, Dublin 10", Ballyfermot,Dublin,309253.3712,234096.3651,NursingHome
124,Cherryfield Lodge Nursing Home,"Milltown Park, Dublin 6",Milltown,Dublin,316860.5026,231112.9006,NursingHome
125,Cherryfield Nursing Home,"Cherryfield Nursing Home, Ballygarret, Gorey, Co. Wexford, Wexford", Ballygarret,Wexford,320310.3222,148536.4109,NursingHome
126,Cherryfields Housing with Care,"Cherryfields Housing with Care, 2D Cherryfields Lawn, Hartstown, Clonsilla, Dublin 15 Co. Dublin",Cherryfields Lawn,Dublin,305064.844,239212.047,NursingHome
127,Churchview Nursing Home,"Churchview Nursing Home, 59/61 New Cabra Road, Phibsboro, Dublin 7, Dublin 7",New Cabra Road,Dublin,314451.211,235878.4061,NursingHome
128,Clarehaven Home,"Clarehaven Home, St. Canice's Road, Glasnevin, Dublin 11, Dublin 11", St. Canice's Road,Dublin,315282.1263,238384.228,NursingHome
129,Claremount Nursing Home,"Claremount Nursing Home, Claremount, Claremorris, Co. Mayo, Mayo", Claremount,Mayo,134517.6351,276203.5461,NursingHome
130,Cloghran Nursing Home,"Cloghran Nursing Home, Stockhole Lane, Cloghran, Co Dublin, Co. Dublin", Stockhole Lane,Dublin,318793.031,242854.141,NursingHome
131,Clonakilty Community Hospital,"Clonakilty Community Hospital, Clonakilty, Co. Cork, Cork", Clonakilty,Cork,138743.309,41558.42098,NursingHome
132,Clonskeagh Hospital,"Clonskeagh Hospital, Clonskeagh Road, Dublin 6, Dublin 6", Clonskeagh Road,Dublin,317299.7817,230936.0501,NursingHome
133,Clontarf Private Nursing Home,"Clontarf Private Nursing Home, 5 - 7 Clontarf Road, Clontarf, Dublin 3, Dublin 3", Clontarf Road,Dublin,318881.8334,236035.6633,NursingHome
134,Clover Lodge Nursing Home Shinrone ,"Main Street, Shinrone, Birr, Co. Offaly, R42ea34", Shinrone,Offaly,205039.1885,192509.0309,NursingHome
135,Cloverlodge Nursing Home Athy,"Moneen Lane, Athy, Co. Kildare, R14dd43", Athy,Kildare,268398.4695,194557.3129,NursingHome
136,Cluain Arann Welfare Home,"Cluain Arann Welfare Home, Avondale Crescent, Tipperary Town, Tipperary, Tipperary", Avondale Crescent,Tipperary,189426.4917,136102.442,NursingHome
137,Cluain Lir Community Nursing Unit,"Cluain Lir Community Nursing Unit, Longford Road, Mullingar, Westmeath, Westmeath", Longford Road,Westmeath,243215.281,253904.984,NursingHome
138,Cobh Community Hospital,"Cobh Community Hospital, Cobh, Co. Cork, Cork", Cobh,Cork,179419.484,66968.9451,NursingHome
139,Cois Abhainn Residential Centre,"Cois Abhainn Residential Centre, Greencloyne, Youghal, Co. Cork, Cork", Greencloyne,Cork,209608.312,78807.63587,NursingHome
140,College View Nursing Home,"College View Nursing Home, Clones Road, Cavan, Co. Cavan, Cavan", Clones Road,Cavan,241834.1851,304557.4537,NursingHome
141,Community Hospital New Ross,"Community Hospital, Hospital Road, New Ross, Co. Wexford, Wexford", Hospital Road,Wexford,272276.552,126928.2241,NursingHome
